Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index,Region
2022,Afghanistan,184,0.271,0.1932,0.277,0.3493,0.1867,Asia
2022,Albania ,63,0.7413,0.7614,0.8182,0.8022,0.6037,Europe
2022,Algeria ,112,0.5611,0.2273,0.3743,0.6956,0.6133,Africa
2022,Andorra ,76,0.7177,0.375,0.5133,0.7585,0.8812,Europe
2022,Angola ,157,0.3789,0.1705,0.4716,0.4648,0.2004,Africa
2022,Antigua and Barbuda ,99,0.6113,0.4205,0.4231,0.8128,0.5981,Americas
2022,Argentina ,41,0.8198,0.6477,0.8089,0.9173,0.7332,Americas
2022,Armenia ,64,0.7364,0.5795,0.7221,0.7945,0.6925,Asia
2022,Australia ,7,0.9405,0.9886,0.938,1,0.8836,Oceania
2022,Austria,20,0.8801,0.7727,0.8827,0.907,0.8505,Europe
2022,Azerbaijan ,83,0.6937,0.3864,0.6119,0.7932,0.6761,Asia
2022,Bahamas ,66,0.7277,0.3977,0.6214,0.7641,0.7976,Americas
2022,Bahrain ,54,0.7707,0.4432,0.7523,0.8154,0.7444,Asia
2022,Bangladesh ,111,0.563,0.5227,0.6521,0.59,0.4469,Asia
2022,Barbados ,79,0.7117,0.3977,0.5388,0.8645,0.7318,Americas
2022,Belarus ,58,0.758,0.4318,0.5302,0.9011,0.8426,Europe
2022,Belgium ,39,0.8269,0.4545,0.6899,0.9614,0.8294,Europe
2022,Belize ,133,0.5005,0.2045,0.4425,0.6707,0.3882,Americas
2022,Benin ,149,0.4264,0.3409,0.5245,0.4391,0.3156,Africa
2022,Bhutan ,115,0.5521,0.4659,0.5996,0.5305,0.5261,Asia
2022,Bolivia ,98,0.6165,0.3182,0.5193,0.7483,0.5818,Americas
2022,Bosnia and Herzegovina ,96,0.6256,0.5341,0.4898,0.7489,0.6382,Europe
2022,Botswana ,118,0.5495,0.1705,0.274,0.6932,0.6814,Africa
2022,Brazil ,49,0.791,0.8977,0.8964,0.7953,0.6814,Americas
2022,Brunei Darussalam ,68,0.727,0.4773,0.5871,0.7567,0.8372,Asia
2022,Bulgaria ,52,0.7766,0.7386,0.7092,0.8221,0.7984,Europe
2022,Burkina Faso ,166,0.3476,0.2273,0.373,0.2768,0.3931,Africa
2022,Burundi ,171,0.3204,0.3409,0.3376,0.4837,0.14,Africa
2022,Côte d'Ivoire ,120,0.5467,0.375,0.5467,0.5748,0.5186,Africa
2022,Cabo Verde ,110,0.566,0.25,0.4965,0.6507,0.5507,Africa
2022,Cambodia ,127,0.5056,0.2841,0.4181,0.538,0.5605,Asia
2022,Cameroon ,141,0.4498,0.2841,0.3916,0.5928,0.365,Africa
2022,Canada ,32,0.8511,0.8295,0.8504,0.926,0.777,Americas
2022,Central African Republic ,191,0.1407,0.1364,0.0962,0.2425,0.0833,Africa
2022,Chad ,189,0.189,0.3182,0.2726,0.1753,0.1191,Africa
2022,Chile ,36,0.8377,0.6932,0.828,0.8853,0.7999,Americas
2022,China ,43,0.8119,0.8636,0.8876,0.7429,0.805,Asia
2022,Colombia ,70,0.7261,0.7159,0.7418,0.7867,0.6498,Americas
2022,Comoros ,182,0.2778,0.0114,0.0326,0.471,0.33,Africa
2022,Congo ,161,0.3675,0.2386,0.3177,0.5677,0.217,Africa
2022,Costa Rica ,56,0.7659,0.5568,0.6812,0.8593,0.7572,Americas
2022,Croatia ,44,0.8106,0.7386,0.8108,0.85,0.7711,Europe
2022,Cuba ,136,0.4945,0.1364,0.2789,0.8384,0.3663,Americas
2022,Cyprus ,27,0.866,0.75,0.7792,0.8934,0.9253,Europe
2022,Czech Republic ,45,0.8088,0.6023,0.6693,0.9114,0.8456,Europe
2022,Democratic People's Republic of Korea ,180,0.2859,0.0568,0.1579,0.649,0.0508,Asia
2022,Democratic Republic of the Congo ,175,0.3057,0.25,0.2341,0.5355,0.1477,Africa
2022,Denmark ,1,0.9717,0.8864,0.9797,0.9559,0.9795,Europe
2022,Djibouti ,181,0.2833,0.1136,0.2208,0.3529,0.276,Africa
2022,Dominica ,109,0.5789,0.0909,0.2954,0.681,0.7604,Americas
2022,Dominican Republic ,92,0.6429,0.4545,0.6183,0.7539,0.5567,Americas
2022,Ecuador ,84,0.6889,0.7045,0.7651,0.7748,0.5269,Americas
2022,Egypt ,103,0.5895,0.3523,0.573,0.6375,0.5579,Africa
2022,El Salvador ,117,0.5519,0.3523,0.467,0.6268,0.5618,Americas
2022,Equatorial Guinea ,183,0.2746,0.1591,0.1845,0.5031,0.1363,Africa
2022,Eritrea ,190,0.1709,0.0227,0,0.429,0.0837,Africa
2022,Estonia ,8,0.9393,0.9773,1,0.9231,0.8949,Europe
2022,Eswatini,141,0.4498,0.1477,0.324,0.6703,0.355,Africa
2022,Ethiopia ,179,0.2865,0.1932,0.373,0.3364,0.1501,Africa
2022,Fiji ,97,0.6235,0.2386,0.4813,0.7957,0.5935,Oceania
2022,Finland ,2,0.9533,0.9545,0.9833,0.964,0.9127,Europe
2022,France,19,0.8832,0.7159,0.8768,0.8784,0.8944,Europe
2022,Gabon ,115,0.5521,0.2045,0.3578,0.6706,0.6279,Africa
2022,Gambia ,174,0.3088,0.2386,0.1455,0.3301,0.4508,Africa
2022,Georgia (Country),60,0.7501,0.5341,0.6111,0.8984,0.7409,Europe
2022,Germany ,22,0.877,0.7273,0.7905,0.9446,0.8957,Europe
2022,Ghana ,106,0.5824,0.4545,0.5361,0.6176,0.5934,Africa
2022,Greece ,33,0.8455,0.6136,0.7753,0.9405,0.8206,Europe
2022,Grenada ,66,0.7277,0.2045,0.5507,0.8977,0.7348,Americas
2022,Guatemala ,126,0.5111,0.3295,0.5409,0.5596,0.4328,Americas
2022,Guinea ,162,0.3608,0.2841,0.4421,0.2955,0.3448,Africa
2022,Guinea-Bissau ,186,0.256,0.0795,0.0624,0.3585,0.3472,Africa
2022,Guyana ,123,0.5233,0.2159,0.4509,0.6546,0.4643,Americas
